filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates (74).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me pelet,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (635).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizimi me paisje teknologjike për nevojat e shkollave profesionale ,qendren për karrjer dhe",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"79,081.00"
b08_njoftim_per_dhenje_te_kontrates (265).pdf,KUVENDI I KOMUNES SE PRISHTINES,Nderitmi i aneksit te cerdhes ne Besi,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"38.891,00"
b08_njoftim_per_dhenje_te_kontrates_1 (125).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Ndërtimi i rrugëve në lagjet Canolli , Qazimaj dhe Sekiraqa ne fshatin Prapashticë",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"27 930,00"
b08_njoftim_per_dhenje_te_kontrates (459).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me lende djegese pelet per shkollat fillore dhe te mesme te Komunes se Prishtines si dhe per institucionet tjera komunale dhe per qerdhet me baze ne komunitet,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"194 239,50"
b08_njoftim_per_dhenje_te_kontrates (377).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me makina pastrimi,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"33 686,64"
b08_njoftim_per_dhenje_te_kontrates_1 (74).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me qumshte per nxenesit e shkollave - neveli I ulet nga klasa e pare deri ne te pesten,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (23).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Pastrimi i objekteve te shkollave fillore""Gjergj Fishta,Ismajl Qemajli, Asim Vokshi, Naim Frasheri, Pjeter Bogdanei, Shkolla e Gjelbert dhe PNF Kolevice""",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (727).pdf,KUVENDI I KOMUNES SE PRISHTINES,Mobilarët urban për xhepat urban për rrugën Eqrem Çabej në Prishtinë - Lot 2,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"200,130.00"
b08_njoftim_per_dhenje_te_kontrates_2 (92).pdf,KUVENDI I KOMUNES SE PRISHTINES,Renovimi dhe përmisimi i Infrastrukturës së objekteve të KPSH-së,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"8,955.82"
b08_njoftim_per_dhenje_te_kontrates (232).pdf,KUVENDI I KOMUNES SE PRISHTINES,NGRITJA E VENDKALIMEVE PËR KËMBËSORË DHE VENDOSJA E PANELEVE NDRIÇUESE,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"134.100,00"
b08_njoftim_per_dhenje_te_kontrates (398).pdf,KUVENDI I KOMUNES SE PRISHTINES,Sigurimi fizik i objekteve të kujdesit primar shëndëtsor në Prishtinë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"1,87"
b08_njoftim_per_dhenje_te_kontrates (662).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi I parkut te banesat e standardit,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"3,109.60"
b08_njoftim_per_dhenje_te_kontrates (818).pdf,KUVENDI I KOMUNES SE PRISHTINES,Transporti i nxënësve dhe arsimtarëve për Komunën e Prishtinës,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"7,349.00"
